asset,set,style,total_trades,win_count,loss_count,win_rate,net_r,expectancy_r,profit_factor_r,max_drawdown_r,average_r,median_r,avg_mfe_r,avg_mae_r,final_balance,net_pnl_usd,total_fees_usd,rejected_6r,sample_confidence
BTC/USDT,Set 1,Macro / Position,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
BTC/USDT,Set 2,Swing,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
BTC/USDT,Set 3,Swing / Intraday,1,1,0,1.0,2.1479,2.1479,INFINITE,0.0,2.1479,2.1479,0.0339,6.176,10214.79,214.79,22.61,2,SAMPLE_TOO_SMALL
BTC/USDT,Set 4,Intraday,9,5,4,0.5556,8.3601,0.9289,3.2934,2.9144,0.9289,0.2665,3.6291,1.6708,10847.28,847.28,209.61,6,SAMPLE_TOO_SMALL
BTC/USDT,Set 5,Short-Term Intraday,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,3,INSUFFICIENT_DATA
BTC/USDT,Set 6,Scalping,1,0,1,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.2449,1.1144,9900.00,-100.00,53.56,0,SAMPLE_TOO_SMALL
ETH/USDT,Set 1,Macro / Position,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
ETH/USDT,Set 2,Swing,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
ETH/USDT,Set 3,Swing / Intraday,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
ETH/USDT,Set 4,Intraday,9,4,5,0.4444,3.7844,0.4205,1.7569,2.0,0.4205,-1.0,1.1805,1.826,10367.29,367.29,151.98,8,SAMPLE_TOO_SMALL
ETH/USDT,Set 5,Short-Term Intraday,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,3,INSUFFICIENT_DATA
ETH/USDT,Set 6,Scalping,1,0,1,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,2.03,1.0537,9900.00,-100.00,58.93,2,SAMPLE_TOO_SMALL
SOL/USDT,Set 1,Macro / Position,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
SOL/USDT,Set 2,Swing,2,0,2,0.0,-1.2556,-0.6278,0.0,0.2556,-0.6278,-0.6278,8.1313,0.6989,9874.70,-125.30,5.11,0,SAMPLE_TOO_SMALL
SOL/USDT,Set 3,Swing / Intraday,1,1,0,1.0,26.7191,26.7191,INFINITE,0.0,26.7191,26.7191,38.376,0.7573,12671.91,2671.91,21.49,2,SAMPLE_TOO_SMALL
SOL/USDT,Set 4,Intraday,1,0,1,0.0,-0.7878,-0.7878,0.0,0.0,-0.7878,-0.7878,9.7746,0.7159,9921.22,-78.78,17.52,3,SAMPLE_TOO_SMALL
SOL/USDT,Set 5,Short-Term Intraday,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
SOL/USDT,Set 6,Scalping,0,0,0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,10000.00,0.00,0.0,0,INSUFFICIENT_DATA
