asset,set,status,param,atr,tgt,dev_n,dev_exp,val_n,val_exp,oos_n,oos_exp,skip
BTC/USDT,SET_1,MEASURED,V2_SUPER,2.5,2.5,36,0.56,14,0.403,9,-0.2322,0
BTC/USDT,SET_2,MEASURED,V2_BREAK50,2.5,3.0,85,0.5352,33,0.1769,35,0.203,0
BTC/USDT,SET_3,MEASURED,V2_SUPER,3.0,3.0,730,0.1252,277,0.0264,284,-0.1106,0
BTC/USDT,SET_4,MEASURED,V2_BREAK50,3.0,3.0,1280,0.0006,460,-0.039,518,-0.1576,0
BTC/USDT,SET_5,MEASURED,V2_BREAK20,3.0,2.5,295,-0.2653,104,-0.3578,99,-0.276,48
BTC/USDT,SET_6,NO_DEV_CANDIDATE,,,,,0.0,,0.0,,0.0,64
ETH/USDT,SET_1,MEASURED,V2_TREND,2.5,3.0,30,0.6563,17,0.2331,12,0.4163,0
ETH/USDT,SET_2,MEASURED,V2_BREAK50,2.0,3.0,99,0.5419,38,0.0312,38,-0.0216,0
ETH/USDT,SET_3,MEASURED,V2_BREAK50,2.5,3.0,368,0.1982,135,0.0702,142,0.0543,0
ETH/USDT,SET_4,MEASURED,V2_BREAK50,3.0,2.5,1348,0.0855,496,-0.1241,495,-0.1133,0
ETH/USDT,SET_5,MEASURED,V2_BREAK50,3.0,1.5,269,-0.2158,92,-0.3688,93,-0.3654,32
ETH/USDT,SET_6,NO_DEV_CANDIDATE,,,,,0.0,,0.0,,0.0,64
SOL/USDT,SET_1,MEASURED,V2_SUPER,2.0,3.0,34,0.4841,9,-0.5639,9,-0.3276,0
SOL/USDT,SET_2,MEASURED,V2_BREAK20,3.0,3.0,62,0.7104,24,-0.1108,20,0.3458,0
SOL/USDT,SET_3,MEASURED,V2_BREAK20,2.5,3.0,330,0.1405,112,0.0562,119,0.0502,0
SOL/USDT,SET_4,MEASURED,V2_BREAK20,3.0,1.5,438,0.0422,152,-0.0395,137,-0.0942,0
SOL/USDT,SET_5,MEASURED,V2_SUPER,3.0,2.0,435,-0.2361,144,-0.3037,151,-0.1488,16
SOL/USDT,SET_6,NO_DEV_CANDIDATE,,,,,0.0,,0.0,,0.0,64
BNB/USDT,SET_1,MEASURED,V2_SUPER,3.0,3.0,34,0.6725,13,0.6865,8,0.1907,0
BNB/USDT,SET_2,MEASURED,V2_BREAK20,1.5,3.0,125,0.5917,50,0.1985,42,0.2682,0
BNB/USDT,SET_3,MEASURED,V2_BREAK50,3.0,3.0,222,0.1476,85,-0.1014,87,-0.0014,0
BNB/USDT,SET_4,MEASURED,V2_SUPER,3.0,3.0,418,-0.1171,136,-0.0696,139,-0.1933,0
BNB/USDT,SET_5,NO_DEV_CANDIDATE,,,,,0.0,,0.0,,0.0,64
BNB/USDT,SET_6,NO_DEV_CANDIDATE,,,,,0.0,,0.0,,0.0,64
XRP/USDT,SET_1,MEASURED,V2_TREND,1.5,3.0,30,-0.1947,24,-0.2095,19,-0.3718,0
XRP/USDT,SET_2,MEASURED,V2_BREAK50,3.0,3.0,55,0.2898,24,0.0606,20,0.5116,0
