trade_id,symbol,set,direction,entry_ts,entry_equity,entry_price,fill_entry,size,entry_fee,initial_sl,tp1,tp2,tp3,planned_r,exit_ts,exit_price,fill_exit,exit_reason,exit_fee,net_pnl,realized_r,mfe_r,mae_r,trailing_phase
BTC/USDT_Set 3_1,BTC/USDT,Set 3,LONG,1690185600,10000.00,29828.0000,29838.4398,0.501149,11.2151,29693.9327,30099.5800,31804.2000,31804.2000,14.74,1690192800,30322.7674,30312.1544,SL,11.3932,214.79,2.1479,0.0339,6.1760,1
BTC/USDT_Set 4_1,BTC/USDT,Set 4,SHORT,1504783800,10000.00,4625.3500,4623.7311,2.519323,8.7365,4654.8350,4557.8900,3603.0000,4335.2600,9.84,1504789200,4447.0518,4448.6082,SL,8.4056,424.05,4.2405,1.7412,2.7193,1
BTC/USDT_Set 4_2,BTC/USDT,Set 4,SHORT,1514566800,10424.05,14596.0000,14590.8914,0.348068,3.8090,14863.0776,14204.9900,13190.0000,11640.0000,11.07,1514920500,14837.4784,14842.6715,SL,3.8747,-95.32,-0.9144,10.6561,1.2719,4
BTC/USDT_Set 4_3,BTC/USDT,Set 4,SHORT,1535058900,10328.73,6470.1200,6467.8555,4.522725,21.9392,6478.7137,6325.0000,6389.3500,6228.0000,28.17,1535059800,6478.7137,6480.9812,SL,21.9838,-103.29,-1.0000,1.5826,2.0806,1
BTC/USDT_Set 4_4,BTC/USDT,Set 4,LONG,1591467300,10225.44,9619.9500,9623.3170,1.845547,13.3202,9585.6702,9666.5900,9755.8200,10190.0000,16.63,1591519500,9585.6702,9582.3152,SL,13.2635,-102.25,-1.0000,3.2028,1.8947,2
BTC/USDT_Set 4_5,BTC/USDT,Set 4,SHORT,1599927300,10123.19,10361.9300,10358.3033,1.834703,14.2533,10394.2743,10269.2500,10267.6700,10070.8300,9.00,1599934500,10290.6060,10294.2077,SL,14.1651,89.18,0.8809,0.2501,2.2975,1
BTC/USDT_Set 4_6,BTC/USDT,Set 4,SHORT,1642319100,10212.37,43227.9700,43212.8402,0.264518,8.5729,43518.6225,42925.8800,42777.0000,39650.0000,12.31,1642691700,43414.8452,43430.0404,SL,8.6160,-74.64,-0.7309,7.1887,0.8499,4
BTC/USDT_Set 4_7,BTC/USDT,Set 4,LONG,1664586900,10137.72,19389.0800,19395.8662,0.546320,7.9473,19246.0150,19768.1900,20185.0000,20385.8600,6.97,1664623800,19481.2962,19474.4778,SL,7.9795,27.02,0.2665,0.3472,1.6053,1
BTC/USDT_Set 4_8,BTC/USDT,Set 4,SHORT,1711203300,10164.74,64548.0000,64525.4082,0.332745,16.1029,64711.2964,63536.3000,63000.0000,62022.0000,15.47,1711204200,63733.9543,63756.2612,SL,15.9109,223.92,2.2029,0.9832,2.0821,1
BTC/USDT_Set 4_9,BTC/USDT,Set 4,LONG,1768259700,10388.66,91160.0700,91191.9760,0.148892,10.1833,90662.3454,91441.3400,92519.9500,94444.4400,6.60,1768336200,94444.4400,94411.3844,TP3,10.5429,458.62,4.4146,6.7104,0.2359,2
