asset,set,status,param,atr,tgt,dev_n,dev_exp,val_n,val_exp,oos_n,oos_exp
BTC/USDT,SET_1,MEASURED,BREAKOUT_50,2.0,3.0,38,0.7418,13,0.3981,10,0.8074
BTC/USDT,SET_2,MEASURED,BREAKOUT_50,2.5,3.0,171,0.3272,55,0.22,58,-0.0476
BTC/USDT,SET_3,MEASURED,TREND_PULLBACK_F,3.0,3.0,1224,0.0529,443,-0.091,433,-0.0792
BTC/USDT,SET_4,MEASURED,SUPERTREND,3.0,2.5,3910,-0.0796,1459,-0.2001,1457,-0.2037
BTC/USDT,SET_5,MEASURED,RANGE_50,3.0,2.0,819,-0.3058,279,-0.3314,311,-0.4884
BTC/USDT,SET_6,MEASURED,TREND_PULLBACK_F,3.0,1.5,1019,-0.7221,292,-0.544,353,-0.6273
ETH/USDT,SET_1,MEASURED,BREAKOUT_50,2.0,3.0,32,0.7548,14,0.1922,12,0.3904
ETH/USDT,SET_2,MEASURED,BREAKOUT_50,2.0,3.0,180,0.3825,63,0.0899,63,-0.0936
ETH/USDT,SET_3,MEASURED,BREAKOUT_50,3.0,3.0,636,0.1024,203,-0.0055,209,0.063
ETH/USDT,SET_4,MEASURED,BREAKOUT_50,3.0,3.0,2184,0.0044,745,-0.1549,739,-0.0928
ETH/USDT,SET_5,MEASURED,RANGE_50,3.0,2.0,786,-0.2299,253,-0.2268,265,-0.3866
ETH/USDT,SET_6,MEASURED,RANGE_50,3.0,3.0,802,-0.6465,213,-0.3785,253,-0.4938
SOL/USDT,SET_1,MEASURED,BREAKOUT_20,1.5,3.0,38,0.6953,8,0.2736,14,-0.1699
SOL/USDT,SET_2,MEASURED,BREAKOUT_20,2.0,3.0,165,0.3879,60,-0.0657,59,-0.0128
SOL/USDT,SET_3,MEASURED,TREND_PULLBACK_F,3.0,3.0,837,0.0571,293,0.0529,267,-0.0433
SOL/USDT,SET_4,MEASURED,BREAKOUT_50,3.0,2.5,551,0.0483,180,0.0358,161,-0.0724
SOL/USDT,SET_5,MEASURED,RANGE_50,3.0,2.0,760,-0.1902,249,-0.2011,269,-0.2834
SOL/USDT,SET_6,MEASURED,SUPERTREND,3.0,3.0,662,-0.5327,218,-0.2645,215,-0.4067
BNB/USDT,SET_1,MEASURED,BREAKOUT_20,3.0,3.0,36,0.5796,16,0.2949,12,0.3105
BNB/USDT,SET_2,MEASURED,BREAKOUT_50,2.0,2.5,166,0.4084,66,0.0979,64,0.0628
