Asset,Set,Direction,Trades,WinRate,NetPnL,MaxDD,FinalBalance
BTC,Set 1,LONG,0,0,0.0,0.0,1000.0
BTC,Set 1,SHORT,0,0,0.0,0.0,1000.0
BTC,Set 2,LONG,1,100.0,115.56209258479399,0.0,1115.562092584794
BTC,Set 2,SHORT,0,0,0.0,0.0,1000.0
BTC,Set 3,LONG,6,50.0,-113.64293887201259,14.855137684404749,886.3570611279874
BTC,Set 3,SHORT,6,0.0,-386.6793768550323,38.66793768550322,613.3206231449678
BTC,Set 4,LONG,32,15.625,-951.544072294612,95.15440722946119,48.45592770538813
BTC,Set 4,SHORT,35,25.71428571428571,-991.6520918860389,99.26799931617623,8.347908113960791
BTC,Set 5,LONG,9,11.11111111111111,-648.8823392338726,64.88823392338728,351.1176607661273
BTC,Set 5,SHORT,6,33.33333333333333,-376.1822590342614,40.58546149693236,623.8177409657385
BTC,Set 6,LONG,3,0.0,-781.362985181224,78.13629851812239,218.63701481877604
BTC,Set 6,SHORT,2,0.0,-256.74596807505486,25.674596807505484,743.2540319249451
ETH,Set 1,LONG,1,0.0,-90.01443006243979,9.001443006243983,909.9855699375602
ETH,Set 1,SHORT,0,0,0.0,0.0,1000.0
ETH,Set 2,LONG,2,0.0,-78.43961064860002,7.843961064860003,921.5603893514
ETH,Set 2,SHORT,0,0,0.0,0.0,1000.0
ETH,Set 3,LONG,9,0.0,-854.8773756779149,85.48773756779151,145.12262432208487
ETH,Set 3,SHORT,4,25.0,-86.634286490415,14.337004681952523,913.365713509585
ETH,Set 4,LONG,28,25.0,-2783.3271196817823,171.64800112787583,-1783.3271196817825
ETH,Set 4,SHORT,42,23.809523809523807,-853.7404775095986,85.37404775095987,146.2595224904013
ETH,Set 5,LONG,7,28.57142857142857,-128.64275394530677,29.974129222349926,871.3572460546933
ETH,Set 5,SHORT,8,25.0,147.50539057812367,30.18912985699484,1147.5053905781238
ETH,Set 6,LONG,8,50.0,-120.27020294360963,23.253166516045752,879.7297970563901
ETH,Set 6,SHORT,6,16.666666666666664,-804.3752230267536,80.43752230267536,195.6247769732463
SOL,Set 1,LONG,1,0.0,-71.40227946021798,7.140227946021799,928.597720539782
SOL,Set 1,SHORT,0,0,0.0,0.0,1000.0
SOL,Set 2,LONG,2,50.0,29.50033192469546,1.0403820383060065,1029.5003319246955
SOL,Set 2,SHORT,0,0,0.0,0.0,1000.0
SOL,Set 3,LONG,2,0.0,-1033.2299627738976,103.32299627738976,-33.22996277389757
SOL,Set 3,SHORT,4,50.0,443.5601069800157,7.956554622575568,1443.5601069800157
SOL,Set 4,LONG,8,12.5,-438.27122103282153,43.827122103282136,561.7287789671786
SOL,Set 4,SHORT,5,20.0,-193.47803987901767,21.496447010180365,806.5219601209824
SOL,Set 5,LONG,0,0,0.0,0.0,1000.0
SOL,Set 5,SHORT,0,0,0.0,0.0,1000.0
SOL,Set 6,LONG,0,0,0.0,0.0,1000.0
SOL,Set 6,SHORT,0,0,0.0,0.0,1000.0
