asset,set,total_trades,final_balance,net_pnl,rejected_6r,news_filtered,valid_setups
BTC/USDT,Set 1,0,10000.0,0.0,0,0,0
BTC/USDT,Set 2,0,10000.0,0.0,0,0,0
BTC/USDT,Set 3,1,10319.691466930479,319.6914669304788,2,0,3
BTC/USDT,Set 4,9,11174.182826682649,1174.1828266826487,6,0,15
BTC/USDT,Set 5,0,10000.0,0.0,3,0,3
BTC/USDT,Set 6,1,9533.557196580956,-466.44280341904414,0,0,1
ETH/USDT,Set 1,0,10000.0,0.0,0,0,0
ETH/USDT,Set 2,0,10000.0,0.0,0,0,0
ETH/USDT,Set 3,0,10000.0,0.0,0,0,0
ETH/USDT,Set 4,9,10596.469197761071,596.469197761071,8,0,17
ETH/USDT,Set 5,0,10000.0,0.0,3,0,3
ETH/USDT,Set 6,1,9262.777922915884,-737.2220770841159,2,0,3
SOL/USDT,Set 1,0,10000.0,0.0,0,0,0
SOL/USDT,Set 2,2,9870.588477372728,-129.41152262727155,0,0,2
SOL/USDT,Set 3,1,13734.926195564116,3734.926195564116,2,0,3
SOL/USDT,Set 4,1,9893.999951511303,-106.00004848869685,3,0,4
SOL/USDT,Set 5,0,10000.0,0.0,0,0,0
SOL/USDT,Set 6,0,10000.0,0.0,0,0,0
